Mass,x_pos,y_pos,x_vel,y_vel,radius
4 
100000.000000,4474.213379,4453.680664,1538.702759,1520.243652,1.000000
100000.000000,7199.412109,9254.750000,2736.987549,3575.346924,1.000000
100000.000000,5200.367188,4403.148926,1846.431152,1522.536377,1.000000
100000.000000,2554.807861,2303.606689,591.511597,478.759552,1.000000
100000.000000,5872.500977,6698.544922,2175.341064,2506.087158,1.000000
100000.000000,4989.283203,5475.342773,1785.578003,1972.647339,1.000000
100000.000000,3754.537354,3537.150146,1191.445923,1094.379517,1.000000
100000.000000,8487.418945,8024.449707,3263.137451,3071.642822,1.000000
100000.000000,7900.544434,6475.759277,3015.724365,2431.139160,1.000000
100000.000000,8350.321289,7044.006348,3204.239990,2667.820557,1.000000
100000.000000,1924.616211,1783.643066,274.090271,185.621780,1.000000
100000.000000,7247.422852,8639.977539,2755.441406,3322.304443,1.000000
100000.000000,4354.328125,5049.973145,1507.616943,1772.478394,1.000000
100000.000000,6608.538574,6821.508301,2482.141602,2564.962158,1.000000
100000.000000,3473.072998,4796.576172,1132.594849,1631.022095,1.000000
100000.000000,2818.002686,3215.022217,778.876770,893.976746,1.000000
100000.000000,6074.746582,4648.285156,2225.793457,1647.375854,1.000000
100000.000000,-245688.109375,-241795.750000,-164019.750000,-161423.328125,1.000000
100000.000000,8312.354492,6942.709961,3188.334473,2626.043213,1.000000
100000.000000,6918.666504,8569.596680,2620.313477,3292.521240,1.000000
100000.000000,2440.453369,2174.484375,531.188171,414.014221,1.000000
100000.000000,4739.214355,3753.488037,1625.517090,1232.643311,1.000000
100000.000000,4205.820801,6363.109375,1478.692017,2337.303467,1.000000
100000.000000,4306.208984,6324.748535,1519.403076,2322.634277,1.000000
100000.000000,2176.959229,2426.314453,453.996429,491.507599,1.000000
100000.000000,6919.732910,7804.865234,2617.656494,2976.088623,1.000000
100000.000000,3625.066162,2821.180176,1092.316162,784.226257,1.000000
100000.000000,3332.430420,3194.701904,991.642822,922.321594,1.000000
100000.000000,7488.755859,7726.124023,2851.769043,2945.999512,1.000000
100000.000000,44.277710,-3484.263672,1189.955566,-1682.681396,1.000000
100000.000000,6828.298340,5395.923340,2557.933594,1972.750732,1.000000
100000.000000,1978.603394,1997.497559,325.815430,283.152161,1.000000
100000.000000,7335.989258,6737.016602,2783.256592,2535.625000,1.000000
100000.000000,5771.981445,6058.476562,2124.384033,2234.852295,1.000000
100000.000000,5659.079102,6137.367188,2078.418945,2266.340088,1.000000
100000.000000,2926.665283,2399.028320,756.876465,554.881165,1.000000
100000.000000,8714.403320,7847.351074,3355.798828,2999.142090,1.000000
100000.000000,1461.048828,1522.387695,66.017296,3.274483,1.000000
100000.000000,6531.580078,7286.944336,2453.959229,2758.248535,1.000000
100000.000000,5264.019531,7213.007324,1928.698730,2715.313477,1.000000
100000.000000,7879.068848,5611.074219,3000.371826,2073.085938,1.000000
100000.000000,5488.708496,4616.732910,1974.705566,1620.146118,1.000000
100000.000000,5873.793945,5966.970215,2165.273926,2197.603027,1.000000
100000.000000,9326.977539,10154.357422,3605.467041,3942.267090,1.000000
100000.000000,4976.892090,3798.125244,1728.969238,1259.671875,1.000000
100000.000000,6498.957520,7556.820312,2442.250977,2870.216553,1.000000
100000.000000,2734.196045,2771.909668,708.873779,693.913574,1.000000
100000.000000,5601.167969,6249.357910,2055.635010,2312.310547,1.000000
100000.000000,8243.723633,7308.761230,3160.876953,2776.282715,1.000000
100000.000000,6462.246582,5488.527344,2404.574219,2005.706665,1.000000
100000.000000,5199.190918,3734.617920,1822.902222,1240.778198,1.000000
100000.000000,7645.270020,7394.736816,2914.501221,2809.345703,1.000000
100000.000000,10098.132812,9078.227539,3920.768555,3502.564453,1.000000
100000.000000,6379.589355,7447.339844,2391.982666,2823.541504,1.000000
100000.000000,6131.587891,3987.839111,2234.298340,1372.845215,1.000000
100000.000000,-4347306.000000,-14688611.000000,-2898394.250000,-9792602.000000,1.000000
100000.000000,5194.269531,5544.043945,1891.448608,2020.857300,1.000000
100000.000000,2562.985352,2615.095947,687.171692,658.905884,1.000000
100000.000000,8074.698242,5707.007812,3094.815918,2119.062988,1.000000
100000.000000,9549.402344,8031.623047,3704.255371,3078.770508,1.000000
100000.000000,1772.050293,1455.992798,271.457397,98.464928,1.000000
100000.000000,3380.240479,4053.255127,1095.240845,1329.741699,1.000000
100000.000000,5845.437500,4905.545898,2153.916504,1761.544434,1.000000
100000.000000,954.799744,637.715271,-137.963486,-344.274963,1.000000
100000.000000,5408.394043,5250.124023,1975.941284,1899.557007,1.000000
100000.000000,10283.004883,9337.997070,4000.510010,3611.089600,1.000000
100000.000000,6628.414551,7981.764648,2507.082520,3055.696533,1.000000
100000.000000,4105.885254,4102.424316,1399.272217,1376.864136,1.000000
100000.000000,5137.541016,7317.792480,1888.732910,2770.738770,1.000000
100000.000000,2378.886719,2629.962891,614.446167,651.608582,1.000000
100000.000000,5004.890625,5559.360840,1812.202393,2023.684937,1.000000
100000.000000,4308.802734,3961.821777,1480.025879,1323.194580,1.000000
100000.000000,4438.660156,5831.979004,1581.226318,2130.318604,1.000000
100000.000000,6745.504883,8091.522461,2555.461426,3101.344238,1.000000
100000.000000,8845.165039,9093.306641,3415.729248,3513.837891,1.000000
100000.000000,6768.052734,7572.250977,2563.055664,2886.204102,1.000000
100000.000000,10760.768555,10797.060547,4190.215332,4202.923828,1.000000
100000.000000,3437.977539,4268.179688,1126.296875,1425.041626,1.000000
100000.000000,-1284.730591,-4182.669922,-712.760986,-4246.929199,1.000000
100000.000000,4802.794434,5155.582031,1719.656738,1847.131470,1.000000
100000.000000,4407.671875,3734.297607,1513.793823,1229.165894,1.000000
100000.000000,4781.093750,3424.638916,1663.347168,1110.915894,1.000000
100000.000000,6641.653320,5891.017578,2499.744873,2184.865967,1.000000
100000.000000,7236.645996,9214.615234,2758.170654,3564.520020,1.000000
100000.000000,3527.505615,4099.271484,1156.924805,1354.079712,1.000000
100000.000000,2518.206787,2703.399414,673.906006,692.226074,1.000000
100000.000000,9633.439453,10725.944336,3733.009766,4177.279785,1.000000
100000.000000,8601.639648,7682.372559,3316.627930,2935.369385,1.000000
100000.000000,2653.322266,3198.285889,758.381592,917.575073,1.000000
100000.000000,5069.416016,4220.060547,1809.623047,1454.772583,1.000000
100000.000000,7914.690430,7076.470703,3033.520508,2684.517578,1.000000
100000.000000,8954.055664,8471.121094,3460.620361,3258.947266,1.000000
100000.000000,8245.424805,6134.476074,3166.633301,2296.246338,1.000000
100000.000000,6794.420410,7369.567871,2572.785889,2801.799072,1.000000
100000.000000,8240.776367,9526.726562,3168.374512,3691.536865,1.000000
100000.000000,2651.127197,2712.041016,727.082397,704.082703,1.000000
100000.000000,7541.845703,8354.333008,2882.645752,3210.780518,1.000000
100000.000000,5050.944336,3550.834229,1782.525879,1171.779907,1.000000
