Mass,x_pos,y_pos,x_vel,y_vel,radius
304 
100000.000000,87824.460938,95579.179688,576.298950,635.168091,10.000000
100000.000000,116057.593750,119565.656250,757.680725,793.003784,10.000000
100000.000000,-162065.109375,14966.764648,-1083.921631,86.316643,10.000000
100000.000000,67553.632812,174161.625000,323.835724,1299.022705,10.000000
100000.000000,47794.269531,144095.984375,299.852539,920.570923,10.000000
100000.000000,72616.906250,174106.593750,373.744080,1184.692871,10.000000
100000.000000,76319.601562,83402.578125,501.650421,553.859802,10.000000
100000.000000,32461.751953,13886.377930,208.469513,77.330063,10.000000
100000.000000,200148.968750,149639.781250,1311.424683,983.458557,10.000000
100000.000000,79410.539062,87847.507812,521.666504,583.522095,10.000000
100000.000000,-94157.687500,310244.125000,-632.614136,2047.611816,10.000000
100000.000000,-97119.054688,78205.945312,-670.662109,496.437897,10.000000
100000.000000,76848.718750,128488.132812,502.897156,860.366333,10.000000
100000.000000,37835.437500,140372.750000,236.653687,908.482666,10.000000
100000.000000,52270.320312,62637.496094,344.319397,415.628998,10.000000
100000.000000,-50791.410156,103924.179688,-355.675903,670.457947,10.000000
100000.000000,54686.589844,63763.589844,360.161926,423.069458,10.000000
100000.000000,89370.101562,142394.890625,577.823914,954.106323,10.000000
100000.000000,294594.125000,253840.031250,1935.011230,1667.637573,10.000000
100000.000000,84854.304688,141256.125000,588.691650,873.530029,10.000000
100000.000000,845877.937500,882808.562500,5562.693848,5805.766602,10.000000
100000.000000,961225.187500,811993.500000,6321.525391,5339.733398,10.000000
100000.000000,967106.625000,833040.687500,6360.082031,5478.114746,10.000000
100000.000000,360773.031250,319387.187500,2370.591064,2098.648682,10.000000
100000.000000,64997.230469,151891.828125,427.944763,930.391418,10.000000
100000.000000,-50244.898438,268861.750000,-402.849792,1821.239990,10.000000
100000.000000,75626.226562,110466.312500,495.985199,735.795654,10.000000
100000.000000,163736.343750,194065.703125,1068.762451,1273.336182,10.000000
100000.000000,88341.546875,140456.578125,571.891846,940.753296,10.000000
100000.000000,65426.175781,173475.234375,556.640442,1286.039795,10.000000
100000.000000,85132.562500,121496.953125,556.223633,810.398376,10.000000
100000.000000,125309.351562,-59787.710938,827.407410,-420.947754,10.000000
100000.000000,19144.130859,142106.390625,120.124557,929.081116,10.000000
100000.000000,-32976.351562,87484.585938,-282.793915,518.994019,10.000000
100000.000000,71140.085938,77375.187500,467.394409,513.178040,10.000000
100000.000000,-31096.853516,149979.828125,-269.646210,968.430908,10.000000
100000.000000,-14324.653320,186959.593750,-146.360611,1233.874023,10.000000
100000.000000,72868.000000,113002.289062,478.028839,753.047546,10.000000
100000.000000,38659.062500,136328.406250,236.250946,871.465759,10.000000
100000.000000,85216.992188,130524.750000,555.124084,872.531921,10.000000
100000.000000,-1779.038818,374580.875000,-42.806534,2540.048584,10.000000
100000.000000,18224.345703,358740.812500,112.042244,2372.825928,10.000000
100000.000000,66482.679688,90306.515625,436.775085,599.644470,10.000000
100000.000000,79059.812500,154895.859375,504.059906,1050.983887,10.000000
100000.000000,71146.953125,125835.304688,466.609833,841.527161,10.000000
100000.000000,44882.917969,62457.574219,295.319183,414.069366,10.000000
100000.000000,57049.652344,78732.953125,375.101624,522.245544,10.000000
100000.000000,44695.824219,68934.101562,294.027496,457.057556,10.000000
100000.000000,41170.097656,56046.128906,270.979126,371.594147,10.000000
100000.000000,64889.859375,73277.820312,426.461823,485.815552,10.000000
100000.000000,44956.398438,57542.515625,295.864136,381.437592,10.000000
100000.000000,1073990.375000,919876.250000,7062.888672,6049.032227,10.000000
100000.000000,77622.445312,65715.226562,509.764709,435.178955,10.000000
