Mass,x_pos,y_pos,x_vel,y_vel,radius
41 
100000.000000,32450.826172,31767.714844,1507.859863,1468.379272,1.000000
100000.000000,57640.289062,75071.820312,2724.702148,3554.388672,1.000000
100000.000000,38858.445312,31849.062500,1814.813232,1476.325195,1.000000
100000.000000,12622.752930,9385.952148,536.834717,364.924988,1.000000
100000.000000,45815.710938,52567.714844,2156.314941,2474.494385,1.000000
100000.000000,37638.046875,41322.164062,1761.306519,1931.244995,1.000000
100000.000000,25176.517578,22712.921875,1152.485229,1025.865479,1.000000
100000.000000,68616.312500,64535.167969,3247.928711,3051.422363,1.000000
100000.000000,63378.828125,51069.050781,2995.871582,2406.541016,1.000000
100000.000000,67347.812500,56054.078125,3186.382568,2645.669189,1.000000
100000.000000,5998.458008,2851.234863,212.129211,33.514511,1.000000
100000.000000,58008.062500,69758.203125,2741.785889,3300.218506,1.000000
100000.000000,31829.347656,37086.070312,1481.400391,1724.229004,1.000000
100000.000000,52231.144531,53830.359375,2463.318848,2536.569824,1.000000
100000.000000,24010.099609,34077.406250,1106.422363,1574.002930,1.000000
100000.000000,16585.634766,18396.552734,738.657227,807.179932,1.000000
100000.000000,46784.429688,34523.203125,2196.223877,1608.768311,1.000000
100000.000000,-3280051.500000,-3228128.250000,-164019.750000,-161423.328125,1.000000
100000.000000,67011.070312,55176.164062,3170.188965,2603.647949,1.000000
100000.000000,55178.687500,69122.765625,2606.615723,3269.539551,1.000000
100000.000000,11359.963867,7958.938477,474.528015,293.678253,1.000000
100000.000000,34219.515625,25702.591797,1588.210205,1177.826782,1.000000
100000.000000,31266.837891,48972.707031,1460.087646,2297.032959,1.000000
100000.000000,32114.927734,48666.753906,1500.452515,2282.598389,1.000000
100000.000000,9785.750977,9666.890625,404.647888,372.783569,1.000000
100000.000000,55098.878906,62476.488281,2601.952393,2951.337646,1.000000
100000.000000,23059.945312,16079.325195,1043.776489,704.037354,1.000000
100000.000000,21003.158203,19023.443359,949.290649,843.286743,1.000000
100000.000000,59994.234375,61863.714844,2835.750488,2922.677979,1.000000
100000.000000,21725.349609,-90654.921875,1851.400146,-5545.680664,1.000000
100000.000000,53758.382812,41399.933594,2533.111572,1941.162354,1.000000
100000.000000,7091.692383,5054.060059,268.862701,143.045135,1.000000
100000.000000,58525.242188,53241.558594,2764.156250,2509.657715,1.000000
100000.000000,44730.035156,46865.714844,2102.682373,2200.424805,1.000000
100000.000000,43773.351562,47523.718750,2057.136230,2231.703369,1.000000
100000.000000,16059.898438,11071.646484,702.482300,452.682709,1.000000
100000.000000,70551.828125,63021.800781,3340.220703,2979.232178,1.000000
100000.000000,1668.928711,-1274.744385,3.294173,-180.824814,1.000000
100000.000000,51658.906250,57888.675781,2436.785156,2730.954834,1.000000
100000.000000,40682.222656,56947.632812,1912.078125,2683.418457,1.000000
100000.000000,63022.437500,43553.937500,2977.289062,2046.759766,1.000000
100000.000000,41546.320312,33922.625000,1944.731323,1577.391479,1.000000
100000.000000,45580.859375,46086.937500,2143.097900,2163.285156,1.000000
100000.000000,75855.367188,82841.093750,3594.458252,3926.501465,1.000000
100000.000000,36378.675781,26289.720703,1692.120850,1207.558716,1.000000
100000.000000,51423.390625,60239.882812,2425.944824,2843.563965,1.000000
100000.000000,15103.437500,14087.065430,662.227783,596.404846,1.000000
100000.000000,43302.406250,48488.910156,2034.888306,2277.856445,1.000000
