Mass,x_pos,y_pos,x_vel,y_vel,radius
81 
100000.000000,24104.080078,25536.841797,577.481384,630.757812,10.000000
100000.000000,32213.306641,32072.496094,761.352539,788.893738,10.000000
100000.000000,-42280.707031,5436.497070,-1084.267212,86.074539,10.000000
100000.000000,22204.214844,44692.066406,468.547272,1168.685303,10.000000
100000.000000,15188.397461,43249.113281,277.301819,885.034607,10.000000
100000.000000,24057.478516,44961.347656,508.108246,1143.034424,10.000000
100000.000000,20873.927734,22319.775391,502.041168,550.214722,10.000000
100000.000000,9433.702148,5379.233887,208.221405,76.138947,10.000000
100000.000000,55182.687500,40977.761719,1313.089966,983.145996,10.000000
100000.000000,21746.675781,23497.158203,522.251770,579.568298,10.000000
100000.000000,-24235.718750,83967.718750,-633.180786,2048.091797,10.000000
100000.000000,-22985.318359,23364.750000,-671.482971,495.950531,10.000000
100000.000000,21183.388672,33831.093750,505.601959,848.084778,10.000000
100000.000000,12047.561523,40430.601562,224.047058,893.240784,10.000000
100000.000000,14232.702148,16789.425781,344.012970,413.202271,10.000000
100000.000000,-11440.428711,29868.281250,-357.238525,669.509155,10.000000
100000.000000,14896.979492,17095.517578,359.897949,420.576721,10.000000
100000.000000,25183.259766,37443.207031,587.504333,940.054321,10.000000
100000.000000,80759.046875,69560.296875,1935.524536,1667.815063,10.000000
100000.000000,19206.843750,45842.734375,630.075745,787.045471,10.000000
100000.000000,231197.359375,241273.078125,5562.702148,5805.772461,10.000000
100000.000000,262699.281250,221951.390625,6321.533691,5339.734375,10.000000
100000.000000,264315.375000,227707.875000,6360.089355,5478.115234,10.000000
100000.000000,98813.835938,87482.289062,2370.856689,2098.780273,10.000000
100000.000000,18633.974609,47019.519531,649.015381,936.531494,10.000000
100000.000000,-5688.879395,67581.414062,-404.306030,1822.422241,10.000000
100000.000000,20785.923828,29392.201172,496.966675,728.781372,10.000000
100000.000000,45537.781250,53342.515625,1071.848511,1273.942383,10.000000
100000.000000,24848.652344,36974.109375,580.475464,926.863831,10.000000
100000.000000,17790.068359,47498.417969,277.063477,764.866577,10.000000
100000.000000,23568.384766,32235.429688,559.207275,801.724609,10.000000
100000.000000,33876.468750,-13255.598633,827.546570,-421.498566,10.000000
100000.000000,6133.918457,39627.453125,111.744530,923.284973,10.000000
100000.000000,-1676.426147,30181.175781,-284.633728,517.364807,10.000000
100000.000000,19487.599609,20775.021484,467.546936,509.921844,10.000000
100000.000000,-1185.402588,42998.000000,-273.807007,967.366455,10.000000
100000.000000,2027.006104,50589.507812,-152.740158,1234.859131,10.000000
100000.000000,20018.410156,30043.859375,478.804291,745.391846,10.000000
100000.000000,12862.241211,40467.300781,224.864197,855.693604,10.000000
100000.000000,23714.695312,34488.835938,559.803833,861.220337,10.000000
100000.000000,2959.184326,93881.601562,-43.079430,2540.856934,10.000000
100000.000000,5850.953125,96515.406250,111.813194,2373.709717,10.000000
100000.000000,18218.437500,24186.386719,436.772797,595.347107,10.000000
100000.000000,22613.371094,39969.066406,523.299133,1018.205505,10.000000
100000.000000,19546.832031,33240.613281,467.686523,829.816467,10.000000
100000.000000,12264.503906,16779.066406,294.870728,411.730652,10.000000
100000.000000,15611.063477,21132.626953,374.777649,518.941833,10.000000
100000.000000,12222.906250,18514.285156,293.493439,454.450470,10.000000
100000.000000,11241.019531,15052.413086,270.538635,369.523041,10.000000
100000.000000,17766.992188,19693.201172,426.412628,482.806122,10.000000
100000.000000,12276.055664,15463.952148,295.467957,379.277863,10.000000
100000.000000,293542.187500,251458.953125,7062.890625,6049.032227,10.000000
100000.000000,21284.703125,17711.671875,510.024017,432.600189,10.000000
100000.000000,17441.439453,14494.823242,419.381653,353.615936,10.000000
100000.000000,20378.476562,32399.744141,486.240631,806.548584,10.000000
100000.000000,9991.276367,46671.015625,284.296417,1112.966309,10.000000
100000.000000,21662.912109,36785.996094,511.802612,926.468201,10.000000
100000.000000,15524.878906,25522.271484,372.485291,628.217529,10.000000
100000.000000,17470.634766,21236.681641,418.744598,520.853943,10.000000
100000.000000,14988.159180,22158.572266,359.426605,543.949524,10.000000
100000.000000,13321.044922,16424.882812,320.064148,402.244751,10.000000
100000.000000,17407.714844,17326.806641,417.793182,423.645721,10.000000
100000.000000,15897.220703,25408.644531,381.267609,625.300049,10.000000
100000.000000,11980.080078,18274.958984,287.267456,448.030365,10.000000
100000.000000,12995.453125,12962.526367,313.298370,316.935699,10.000000
100000.000000,17433.951172,14350.802734,419.022003,349.884247,10.000000
100000.000000,-17086.099609,14404.162109,-443.413452,317.982452,10.000000
100000.000000,357.901550,64312.320312,-12.870155,1541.674316,10.000000
100000.000000,15003.538086,26462.646484,360.126923,651.545227,10.000000
100000.000000,12725.392578,21987.625000,304.960236,539.441284,10.000000
100000.000000,22780.626953,19624.968750,544.580811,479.561798,10.000000
100000.000000,19008.597656,20237.824219,455.195374,495.513336,10.000000
100000.000000,11257.856445,17696.294922,269.748322,433.749359,10.000000
100000.000000,12793.836914,18612.242188,306.746338,456.017212,10.000000
100000.000000,10775.881836,40477.152344,262.894104,965.331665,10.000000
100000.000000,12906.549805,15100.840820,310.219391,369.490845,10.000000
100000.000000,21753.957031,26666.443359,518.753235,656.654663,10.000000
100000.000000,13788.478516,13542.681641,331.912598,330.768616,10.000000
100000.000000,11370.036133,14273.398438,273.348633,349.629913,10.000000
100000.000000,21404.619141,31103.425781,509.472595,771.245178,10.000000
100000.000000,11498.333008,13864.551758,276.589111,339.511078,10.000000
100000.000000,13524.877930,20962.716797,324.069458,513.845642,10.000000
100000.000000,18141.521484,24244.507812,434.116058,595.641724,10.000000
100000.000000,19982.564453,27354.826172,477.229431,674.362915,10.000000
100000.000000,16134.082031,19060.812500,386.733093,466.454193,10.000000
100000.000000,-13362.860352,1079.716309,-407.223938,-88.255615,10.000000
100000.000000,15961.512695,19566.615234,382.488800,478.961121,10.000000
100000.000000,15993.390625,23983.703125,383.080627,588.934998,10.000000
100000.000000,17894.007812,48336.496094,216.262268,970.187622,10.000000
100000.000000,11560.808594,15056.719727,277.542480,368.604797,10.000000
100000.000000,18518.455078,15089.644531,444.142426,367.576019,10.000000
100000.000000,9749.450195,12556.194336,234.593903,308.038605,10.000000
100000.000000,13068.564453,22350.103516,312.989502,547.950989,10.000000
100000.000000,16775.695312,21756.919922,401.629883,533.196594,10.000000
100000.000000,19082.904297,30810.365234,456.213013,763.390503,10.000000
100000.000000,10092.750977,12631.045898,242.869888,309.647400,10.000000
100000.000000,13100.217773,20785.947266,313.688019,509.181091,10.000000
100000.000000,12249.943359,17825.517578,293.463989,436.315674,10.000000
100000.000000,-1165809.625000,54931.601562,-28105.726562,1311.012085,10.000000
100000.000000,-129773.609375,-40917.304688,-3140.533447,-999.184082,10.000000
100000.000000,34528.343750,276288.218750,821.114136,6646.308594,10.000000
100000.000000,2741781.000000,4825402.500000,66056.062500,116262.015625,10.000000
100000.000000,1219.253540,13336.241211,20.067968,314.964966,10.000000
100000.000000,-6403.138672,-5874.743164,-162.491028,-148.469254,10.000000
100000.000000,-1039.059326,-2193.869629,-33.607250,-60.539993,10.000000
100000.000000,-11823.971680,-10345.610352,-292.013947,-255.206268,10.000000
100000.000000,22.937273,3209.405029,-8.467996,69.704079,10.000000
100000.000000,-453.004883,23585.101562,-18.945862,563.720398,10.000000
100000.000000,-4171.333984,-3322.662842,-109.059174,-87.354317,10.000000
100000.000000,-3589.917725,6941.527344,-96.293564,160.284637,10.000000
100000.000000,-10004.759766,-10421.718750,-248.433640,-257.208618,10.000000
100000.000000,7688.088379,12180.026367,176.614243,287.055054,10.000000
100000.000000,-7149.787598,2707.148193,-181.604706,58.464493,10.000000
100000.000000,-4996.213867,4349.539551,-129.946732,97.811417,10.000000
100000.000000,-9198.732422,-11146.265625,-229.036118,-274.651337,10.000000
100000.000000,5813.287598,34768.328125,142.141129,841.210693,10.000000
100000.000000,-463.967255,12739.272461,-20.739412,300.428955,10.000000
100000.000000,-4060.731201,5295.421387,-107.468071,120.522141,10.000000
100000.000000,131.859039,4257.644531,-5.899211,95.007980,10.000000
100000.000000,-14295.563477,-8718.350586,-351.269073,-215.913910,10.000000
100000.000000,-4585.875488,161.523819,-119.460594,-3.364637,10.000000
100000.000000,337.949799,13365.663086,-1.214557,315.632507,10.000000
100000.000000,4135.234375,9014.241211,90.773575,210.018341,10.000000
