Mass,x_pos,y_pos,x_vel,y_vel,radius
1
1000000,300,300,25,100,20
2,281,262,0,0,2
2,341,339,0,0,2
2,267,327,0,0,2
2,340,334,0,0,2
2,348,339,0,0,2
2,343,268,0,0,2
2,321,320,0,0,2
2,311,324,0,0,2
2,328,260,0,0,2
2,295,300,0,0,2
2,320,285,0,0,2
2,264,310,0,0,2
2,288,342,0,0,2
2,297,301,0,0,2
2,335,343,0,0,2
2,345,289,0,0,2
2,304,255,0,0,2
2,301,264,0,0,2
2,298,344,0,0,2
2,307,274,0,0,2
2,319,303,0,0,2
2,252,289,0,0,2
2,338,271,0,0,2
2,276,306,0,0,2
2,273,254,0,0,2
2,275,288,0,0,2
2,314,279,0,0,2
2,327,290,0,0,2
2,324,310,0,0,2
2,324,275,0,0,2
2,326,250,0,0,2
2,272,265,0,0,2
2,250,298,0,0,2
2,279,284,0,0,2
2,280,315,0,0,2
2,254,310,0,0,2
2,269,347,0,0,2
2,339,314,0,0,2
2,313,330,0,0,2
2,327,267,0,0,2
2,348,312,0,0,2
2,324,272,0,0,2
2,295,310,0,0,2
2,309,277,0,0,2
2,311,297,0,0,2
2,287,339,0,0,2
2,268,284,0,0,2
2,311,258,0,0,2
2,250,292,0,0,2
2,253,346,0,0,2
2,307,334,0,0,2
2,298,317,0,0,2
2,311,350,0,0,2
2,272,284,0,0,2
2,266,347,0,0,2
2,337,308,0,0,2
2,331,261,0,0,2
2,316,327,0,0,2
2,347,289,0,0,2
2,310,305,0,0,2
2,343,284,0,0,2
2,264,325,0,0,2
2,277,258,0,0,2
2,294,342,0,0,2
2,265,331,0,0,2
2,292,350,0,0,2
2,339,308,0,0,2
2,251,273,0,0,2
2,315,255,0,0,2
2,295,267,0,0,2
2,313,266,0,0,2
2,342,340,0,0,2
2,311,339,0,0,2
2,279,279,0,0,2
2,319,348,0,0,2
2,336,321,0,0,2
2,311,314,0,0,2
2,300,323,0,0,2
2,328,287,0,0,2
2,292,330,0,0,2
2,265,295,0,0,2
2,341,342,0,0,2
2,252,332,0,0,2
2,328,293,0,0,2
2,347,329,0,0,2
2,316,321,0,0,2
2,324,292,0,0,2
2,263,262,0,0,2
2,288,294,0,0,2
2,311,272,0,0,2
2,308,275,0,0,2
2,266,259,0,0,2
2,288,250,0,0,2
2,292,317,0,0,2
2,345,292,0,0,2
2,255,308,0,0,2
2,346,274,0,0,2
2,282,301,0,0,2
2,267,292,0,0,2
2,294,333,0,0,2
1000000,600,600,-25,-100,20
2,632,579,0,0,2
2,649,550,0,0,2
2,593,637,0,0,2
2,627,564,0,0,2
2,583,623,0,0,2
2,624,596,0,0,2
2,643,633,0,0,2
2,641,595,0,0,2
2,635,640,0,0,2
2,562,641,0,0,2
2,625,617,0,0,2
2,584,600,0,0,2
2,612,566,0,0,2
2,564,640,0,0,2
2,614,584,0,0,2
2,591,596,0,0,2
2,551,564,0,0,2
2,600,590,0,0,2
2,569,617,0,0,2
2,569,648,0,0,2
2,617,644,0,0,2
2,617,647,0,0,2
2,641,619,0,0,2
2,644,593,0,0,2
2,600,638,0,0,2
2,635,588,0,0,2
2,607,577,0,0,2
2,624,579,0,0,2
2,575,593,0,0,2
2,576,603,0,0,2
2,607,643,0,0,2
2,630,622,0,0,2
2,650,601,0,0,2
2,628,627,0,0,2
2,588,648,0,0,2
2,579,648,0,0,2
2,616,642,0,0,2
2,622,575,0,0,2
2,595,565,0,0,2
2,621,646,0,0,2
2,646,590,0,0,2
2,639,618,0,0,2
2,556,589,0,0,2
2,590,603,0,0,2
2,556,625,0,0,2
2,577,608,0,0,2
2,562,586,0,0,2
2,561,603,0,0,2
2,583,598,0,0,2
2,609,634,0,0,2
2,550,602,0,0,2
2,570,638,0,0,2
2,641,614,0,0,2
2,569,572,0,0,2
2,645,555,0,0,2
2,642,586,0,0,2
2,589,598,0,0,2
2,615,564,0,0,2
2,647,582,0,0,2
2,624,579,0,0,2
2,555,637,0,0,2
2,618,598,0,0,2
2,583,564,0,0,2
2,563,584,0,0,2
2,589,603,0,0,2
2,577,610,0,0,2
2,607,590,0,0,2
2,576,608,0,0,2
2,648,603,0,0,2
2,644,566,0,0,2
2,556,567,0,0,2
2,597,632,0,0,2
2,612,552,0,0,2
2,609,613,0,0,2
2,600,578,0,0,2
2,612,609,0,0,2
2,638,643,0,0,2
2,623,645,0,0,2
2,579,624,0,0,2
2,620,641,0,0,2
2,641,574,0,0,2
2,552,622,0,0,2
2,621,629,0,0,2
2,623,608,0,0,2
2,637,576,0,0,2
2,643,620,0,0,2
2,592,564,0,0,2
2,568,632,0,0,2
2,567,595,0,0,2
2,555,647,0,0,2
2,636,571,0,0,2
2,577,554,0,0,2
2,650,590,0,0,2
2,600,614,0,0,2
2,576,595,0,0,2
2,614,641,0,0,2
2,558,649,0,0,2
2,632,594,0,0,2
2,609,569,0,0,2
2,647,604,0,0,2
