Mass,x_pos,y_pos,x_vel,y_vel,radius
1
1000000,500,500,0,0,20
2,896,500,0,-111,1
2,117,500,0,139,1
2,312,500,0,122,1
2,28,500,0,51,1
2,996,500,0,-109,1
2,230,500,0,80,1
2,433,500,0,76,1
2,23,500,0,55,1
2,913,500,0,-124,1
2,238,500,0,57,1
2,211,500,0,92,1
2,-81,500,0,150,1
2,738,500,0,-72,1
2,372,500,0,101,1
2,219,500,0,58,1
2,0,500,0,64,1
2,823,500,0,-93,1
2,249,500,0,113,1
2,-78,500,0,150,1
2,313,500,0,81,1
2,943,500,0,-79,1
2,433,500,0,54,1
2,188,500,0,86,1
2,357,500,0,76,1
2,594,500,0,-89,1
2,63,500,0,86,1
2,21,500,0,60,1
2,125,500,0,82,1
2,1037,500,0,-73,1
2,119,500,0,82,1
2,173,500,0,109,1
2,423,500,0,50,1
2,1066,500,0,-88,1
2,33,500,0,98,1
2,-60,500,0,110,1
2,68,500,0,132,1
2,813,500,0,-101,1
2,400,500,0,104,1
2,137,500,0,73,1
2,25,500,0,147,1
2,1100,500,0,-115,1
2,341,500,0,90,1
2,-74,500,0,68,1
2,100,500,0,54,1
2,733,500,0,-99,1
2,-46,500,0,85,1
2,415,500,0,53,1
2,446,500,0,75,1
2,756,500,0,-96,1
2,-47,500,0,107,1
2,291,500,0,52,1
2,132,500,0,133,1
2,651,500,0,-141,1
2,348,500,0,127,1
2,218,500,0,112,1
2,159,500,0,137,1
2,640,500,0,-111,1
2,262,500,0,64,1
2,97,500,0,137,1
2,-86,500,0,121,1
2,585,500,0,-115,1
2,-49,500,0,68,1
2,147,500,0,87,1
2,320,500,0,93,1
2,623,500,0,-97,1
2,448,500,0,139,1
2,-75,500,0,102,1
2,401,500,0,80,1
2,864,500,0,-111,1
2,110,500,0,88,1
2,306,500,0,96,1
2,354,500,0,73,1
2,687,500,0,-109,1
2,-18,500,0,55,1
2,129,500,0,134,1
2,338,500,0,81,1
2,717,500,0,-95,1
2,186,500,0,104,1
2,160,500,0,134,1
2,241,500,0,123,1
2,715,500,0,-59,1
2,122,500,0,111,1
2,161,500,0,139,1
2,298,500,0,67,1
2,1026,500,0,-128,1
2,96,500,0,125,1
2,-42,500,0,146,1
2,319,500,0,67,1
2,842,500,0,-68,1
2,219,500,0,81,1
2,442,500,0,54,1
2,290,500,0,107,1
2,961,500,0,-66,1
2,123,500,0,96,1
2,138,500,0,146,1
2,-50,500,0,57,1
2,638,500,0,-132,1
2,118,500,0,60,1
2,16,500,0,87,1
2,365,500,0,139,1
2,753,500,0,-73,1
2,219,500,0,127,1
2,447,500,0,72,1
2,-29,500,0,146,1
2,576,500,0,-77,1
2,96,500,0,138,1
2,199,500,0,94,1
2,-68,500,0,146,1
2,555,500,0,-108,1
2,-52,500,0,90,1
2,421,500,0,134,1
2,321,500,0,78,1
2,797,500,0,-112,1
2,228,500,0,73,1
2,100,500,0,122,1
2,158,500,0,103,1
2,678,500,0,-59,1
2,272,500,0,115,1
2,-58,500,0,126,1
2,313,500,0,59,1
2,1018,500,0,-121,1
2,92,500,0,113,1
2,314,500,0,84,1
2,127,500,0,72,1
2,977,500,0,-62,1
2,440,500,0,144,1
2,365,500,0,97,1
2,54,500,0,120,1
2,593,500,0,-113,1
2,380,500,0,135,1
2,97,500,0,134,1
2,-70,500,0,106,1
2,1074,500,0,-78,1
2,352,500,0,150,1
2,-40,500,0,109,1
2,0,500,0,84,1
2,577,500,0,-73,1
2,446,500,0,138,1
2,-45,500,0,65,1
2,106,500,0,129,1
2,690,500,0,-58,1
2,400,500,0,97,1
2,356,500,0,131,1
2,448,500,0,111,1
2,933,500,0,-71,1
2,445,500,0,114,1
2,353,500,0,60,1
2,419,500,0,107,1
2,950,500,0,-79,1
2,181,500,0,50,1
2,35,500,0,50,1
2,72,500,0,122,1
2,982,500,0,-69,1
2,28,500,0,50,1
2,441,500,0,85,1
2,242,500,0,92,1
2,550,500,0,-73,1
2,309,500,0,149,1
2,332,500,0,75,1
2,12,500,0,101,1
2,783,500,0,-51,1
2,-94,500,0,138,1
2,395,500,0,74,1
2,142,500,0,82,1
2,762,500,0,-72,1
2,436,500,0,83,1
2,365,500,0,71,1
2,122,500,0,145,1
2,726,500,0,-57,1
2,393,500,0,123,1
2,112,500,0,100,1
2,-53,500,0,77,1
2,1057,500,0,-54,1
2,414,500,0,119,1
2,300,500,0,74,1
2,332,500,0,128,1
2,1033,500,0,-84,1
2,-28,500,0,146,1
2,206,500,0,59,1
2,344,500,0,72,1
2,718,500,0,-149,1
2,115,500,0,110,1
2,214,500,0,97,1
2,352,500,0,137,1
2,689,500,0,-96,1
2,211,500,0,109,1
2,279,500,0,84,1
2,193,500,0,119,1
2,808,500,0,-86,1
2,-19,500,0,52,1
2,405,500,0,128,1
2,-41,500,0,63,1
2,700,500,0,-109,1
2,270,500,0,85,1
2,382,500,0,70,1
2,21,500,0,87,1
2,1014,500,0,-111,1
2,225,500,0,105,1
2,215,500,0,145,1
2,23,500,0,54,1
2,709,500,0,-96,1
2,449,500,0,133,1
2,-41,500,0,129,1
2,-15,500,0,127,1
2,635,500,0,-95,1
2,244,500,0,117,1
2,415,500,0,140,1
2,293,500,0,85,1
2,971,500,0,-147,1
2,337,500,0,58,1
2,343,500,0,55,1
2,312,500,0,104,1
2,815,500,0,-92,1
2,232,500,0,72,1
2,341,500,0,97,1
2,234,500,0,92,1
2,1084,500,0,-137,1
2,411,500,0,66,1
2,268,500,0,114,1
2,-66,500,0,148,1
2,822,500,0,-114,1
2,256,500,0,149,1
2,431,500,0,57,1
2,209,500,0,91,1
2,1069,500,0,-94,1
2,6,500,0,56,1
2,82,500,0,88,1
2,82,500,0,86,1
2,629,500,0,-98,1
2,286,500,0,131,1
2,139,500,0,147,1
2,301,500,0,141,1
2,779,500,0,-125,1
2,219,500,0,133,1
2,13,500,0,147,1
2,340,500,0,137,1
2,993,500,0,-98,1
2,342,500,0,67,1
2,448,500,0,145,1
2,302,500,0,109,1
2,815,500,0,-96,1
2,99,500,0,84,1
2,-3,500,0,111,1
2,45,500,0,95,1
2,640,500,0,-71,1
2,387,500,0,97,1
2,-50,500,0,148,1
2,49,500,0,52,1
2,661,500,0,-107,1
2,-47,500,0,56,1
2,343,500,0,98,1
2,-79,500,0,137,1
2,565,500,0,-119,1
2,-85,500,0,92,1
2,162,500,0,88,1
2,-57,500,0,118,1
2,630,500,0,-55,1
2,48,500,0,148,1
2,319,500,0,62,1
2,281,500,0,68,1
2,815,500,0,-70,1
2,48,500,0,53,1
2,214,500,0,128,1
2,270,500,0,128,1
2,954,500,0,-81,1
2,89,500,0,56,1
2,270,500,0,74,1
2,210,500,0,95,1
2,813,500,0,-51,1
2,409,500,0,98,1
2,223,500,0,72,1
2,264,500,0,83,1
2,563,500,0,-134,1
2,61,500,0,119,1
2,-89,500,0,107,1
2,159,500,0,73,1
2,680,500,0,-94,1
2,153,500,0,74,1
2,214,500,0,128,1
2,409,500,0,77,1
2,770,500,0,-147,1
2,150,500,0,128,1
2,250,500,0,69,1
2,-36,500,0,118,1
2,963,500,0,-58,1
2,294,500,0,109,1
2,302,500,0,55,1
2,17,500,0,130,1
2,1017,500,0,-56,1
2,407,500,0,126,1
2,338,500,0,76,1
2,229,500,0,148,1
2,579,500,0,-138,1
2,6,500,0,87,1
2,434,500,0,89,1
2,167,500,0,102,1
2,915,500,0,-148,1
2,214,500,0,88,1
2,221,500,0,148,1
2,263,500,0,65,1
2,845,500,0,-145,1
2,255,500,0,78,1
2,302,500,0,134,1
2,-99,500,0,115,1
2,816,500,0,-132,1
2,-30,500,0,118,1
2,401,500,0,81,1
2,226,500,0,117,1
2,728,500,0,-133,1
2,-51,500,0,105,1
2,23,500,0,131,1
2,106,500,0,67,1
2,1022,500,0,-91,1
2,-42,500,0,107,1
2,421,500,0,103,1
2,310,500,0,103,1
2,818,500,0,-99,1
2,155,500,0,71,1
2,424,500,0,78,1
2,445,500,0,78,1
2,991,500,0,-113,1
2,-28,500,0,60,1
2,236,500,0,111,1
2,314,500,0,99,1
2,710,500,0,-85,1
